filename,width,height,list_of_class_name_and_box
car/train/images/00001.jpg,600,400,"[['car', (39, 116, 569, 375)]]"
car/train/images/00002.jpg,900,675,"[['car', (36, 116, 868, 587)]]"
car/train/images/00003.jpg,640,480,"[['car', (85, 109, 601, 381)]]"
car/train/images/00004.jpg,2100,1386,"[['car', (621, 393, 1484, 1096)]]"
car/train/images/00005.jpg,144,108,"[['car', (14, 36, 133, 99)]]"
car/train/images/00006.jpg,575,431,"[['car', (259, 289, 515, 416)]]"
car/train/images/00007.jpg,640,480,"[['car', (88, 80, 541, 397)]]"
car/train/images/00008.jpg,639,480,"[['car', (73, 79, 591, 410)]]"
car/train/images/00009.jpg,1280,843,"[['car', (20, 126, 1269, 771)]]"
car/train/images/00010.jpg,640,480,"[['car', (21, 110, 623, 367)]]"
car/train/images/00011.jpg,640,424,"[['car', (51, 93, 601, 393)]]"
car/train/images/00012.jpg,500,315,"[['car', (6, 62, 499, 286)]]"
car/train/images/00013.jpg,500,335,"[['car', (30, 36, 418, 307)]]"
car/train/images/00014.jpg,800,600,"[['car', (31, 246, 778, 540)]]"
car/train/images/00015.jpg,640,424,"[['car', (32, 77, 589, 379)]]"
car/train/images/00016.jpg,640,480,"[['car', (27, 49, 611, 396)]]"
car/train/images/00017.jpg,259,194,"[['car', (39, 52, 233, 150)]]"
car/train/images/00018.jpg,200,147,"[['car', (3, 8, 190, 147)]]"
car/train/images/00019.jpg,1500,938,"[['car', (247, 287, 1366, 761)]]"
car/train/images/00020.jpg,1000,650,"[['car', (17, 281, 961, 596)]]"
car/train/images/00021.jpg,750,469,"[['car', (17, 156, 695, 375)]]"
car/train/images/00022.jpg,2100,1386,"[['car', (212, 538, 1893, 1131)]]"
car/train/images/00023.jpg,500,270,"[['car', (11, 28, 476, 234)]]"
car/train/images/00024.jpg,1024,768,"[['car', (53, 126, 973, 621)]]"
car/train/images/00025.jpg,604,453,"[['car', (34, 87, 567, 343)]]"
car/train/images/00026.jpg,628,417,"[['car', (30, 174, 598, 379)]]"
car/train/images/00027.jpg,630,418,"[['car', (80, 107, 606, 336)]]"
car/train/images/00028.jpg,620,412,"[['car', (45, 115, 585, 382)]]"
car/train/images/00029.jpg,1600,1200,"[['car', (28, 139, 1564, 1126)]]"
car/train/images/00030.jpg,896,592,"[['car', (82, 109, 874, 521)]]"
car/train/images/00031.jpg,1024,768,"[['car', (55, 318, 446, 564)]]"
car/train/images/00032.jpg,500,375,"[['car', (12, 31, 471, 350)]]"
car/train/images/00033.jpg,1024,768,"[['car', (34, 197, 1011, 656)]]"
car/train/images/00034.jpg,640,480,"[['car', (37, 63, 614, 397)]]"
car/train/images/00035.jpg,1258,816,"[['car', (223, 87, 1111, 670)]]"
car/train/images/00036.jpg,580,250,"[['car', (138, 41, 521, 223)]]"
car/train/images/00037.jpg,640,425,"[['car', (31, 87, 616, 344)]]"
car/train/images/00038.jpg,480,360,"[['car', (16, 89, 459, 326)]]"
car/train/images/00039.jpg,640,425,"[['car', (53, 113, 614, 350)]]"
car/train/images/00040.jpg,750,469,"[['car', (214, 110, 660, 403)]]"
car/train/images/00041.jpg,640,480,"[['car', (61, 55, 566, 408)]]"
car/train/images/00042.jpg,640,452,"[['car', (28, 61, 622, 371)]]"
car/train/images/00043.jpg,596,417,"[['car', (22, 39, 588, 362)]]"
car/train/images/00044.jpg,659,439,"[['car', (220, 193, 537, 364)]]"
car/train/images/00045.jpg,500,375,"[['car', (12, 108, 489, 297)]]"
car/train/images/00046.jpg,786,492,"[['car', (28, 80, 759, 466)]]"
car/train/images/00047.jpg,1600,1200,"[['car', (84, 248, 1102, 899)]]"
car/train/images/00048.jpg,813,541,"[['car', (142, 69, 753, 451)]]"
car/train/images/00049.jpg,1600,1067,"[['car', (166, 543, 887, 903)]]"
car/train/images/00050.jpg,580,407,"[['car', (20, 96, 564, 341)]]"
car/train/images/00051.jpg,640,480,"[['car', (41, 181, 607, 465)]]"
car/train/images/00052.jpg,808,424,"[['car', (39, 29, 774, 395)]]"
car/train/images/00053.jpg,500,375,"[['car', (161, 191, 425, 307)]]"
car/train/images/00054.jpg,1600,1200,"[['car', (58, 562, 1528, 1081)]]"
car/train/images/00055.jpg,620,433,"[['car', (80, 120, 582, 391)]]"
car/train/images/00056.jpg,500,315,"[['car', (32, 48, 472, 267)]]"
car/train/images/00057.jpg,1200,498,"[['car', (260, 138, 972, 439)]]"
car/train/images/00058.jpg,260,194,"[['car', (11, 35, 256, 173)]]"
car/train/images/00059.jpg,640,480,"[['car', (68, 91, 607, 354)]]"
car/train/images/00060.jpg,400,300,"[['car', (129, 120, 345, 269)]]"
car/train/images/00061.jpg,1023,764,"[['car', (11, 104, 1011, 742)]]"
car/train/images/00062.jpg,450,280,"[['car', (19, 21, 425, 265)]]"
car/train/images/00063.jpg,1032,774,"[['car', (175, 330, 928, 647)]]"
car/train/images/00064.jpg,1024,768,"[['car', (97, 39, 925, 700)]]"
car/train/images/00065.jpg,500,361,"[['car', (63, 175, 417, 320)]]"
car/train/images/00066.jpg,259,194,"[['car', (30, 39, 221, 125)]]"
car/train/images/00067.jpg,640,480,"[['car', (129, 89, 594, 432)]]"
car/train/images/00068.jpg,640,438,"[['car', (32, 43, 598, 350)]]"
car/train/images/00069.jpg,800,533,"[['car', (142, 124, 675, 445)]]"
car/train/images/00070.jpg,1600,1200,"[['car', (220, 313, 1054, 976)]]"
car/train/images/00071.jpg,643,305,"[['car', (8, 12, 639, 299)]]"
car/train/images/00072.jpg,1280,850,"[['car', (92, 271, 1178, 749)]]"
car/train/images/00073.jpg,320,240,"[['car', (15, 12, 314, 230)]]"
car/train/images/00074.jpg,320,240,"[['car', (14, 12, 309, 223)]]"
car/train/images/00075.jpg,550,286,"[['car', (45, 74, 522, 253)]]"
car/train/images/00076.jpg,300,187,"[['car', (12, 27, 284, 166)]]"
car/train/images/00077.jpg,3552,2153,"[['car', (25, 25, 3502, 2017)]]"
car/train/images/00078.jpg,640,480,"[['car', (36, 88, 611, 417)]]"
car/train/images/00079.jpg,750,469,"[['car', (165, 126, 749, 425)]]"
car/train/images/00080.jpg,300,224,"[['car', (20, 21, 292, 217)]]"
car/train/images/00081.jpg,550,301,"[['car', (10, 55, 540, 271)]]"
car/train/images/00082.jpg,640,480,"[['car', (63, 113, 597, 413)]]"
car/train/images/00083.jpg,300,225,"[['car', (55, 48, 294, 205)]]"
car/train/images/00084.jpg,640,480,"[['car', (27, 67, 620, 474)]]"
car/train/images/00085.jpg,640,480,"[['car', (15, 80, 629, 402)]]"
car/train/images/00086.jpg,1500,920,"[['car', (119, 300, 1416, 871)]]"
car/train/images/00087.jpg,467,234,"[['car', (17, 36, 455, 215)]]"
car/train/images/00088.jpg,2592,1944,"[['car', (171, 176, 2373, 1751)]]"
car/train/images/00089.jpg,1024,768,"[['car', (49, 195, 1003, 617)]]"
car/train/images/00090.jpg,300,225,"[['car', (5, 43, 296, 211)]]"
car/train/images/00091.jpg,640,480,"[['car', (49, 57, 494, 419)]]"
car/train/images/00092.jpg,600,338,"[['car', (101, 84, 492, 272)]]"
car/train/images/00093.jpg,275,183,"[['car', (23, 53, 258, 144)]]"
car/train/images/00094.jpg,786,491,"[['car', (19, 60, 783, 440)]]"
car/train/images/00095.jpg,1280,782,"[['car', (110, 171, 1213, 648)]]"
car/train/images/00096.jpg,400,265,"[['car', (39, 67, 346, 206)]]"
car/train/images/00097.jpg,78,58,"[['car', (3, 7, 76, 50)]]"
car/train/images/00098.jpg,640,426,"[['car', (65, 37, 578, 360)]]"
car/train/images/00099.jpg,510,383,"[['car', (27, 60, 486, 364)]]"
car/train/images/00100.jpg,480,360,"[['car', (22, 180, 454, 355)]]"
car/train/images/00101.jpg,1024,768,"[['car', (70, 39, 940, 742)]]"
car/train/images/00102.jpg,480,360,"[['car', (99, 130, 396, 222)]]"
car/train/images/00103.jpg,640,480,"[['car', (85, 107, 609, 381)]]"
car/train/images/00104.jpg,480,360,"[['car', (1, 76, 480, 315)]]"
car/train/images/00105.jpg,1024,768,"[['car', (57, 266, 967, 623)]]"
car/train/images/00106.jpg,300,225,"[['car', (69, 75, 236, 161)]]"
car/train/images/00107.jpg,276,182,"[['car', (24, 17, 249, 163)]]"
car/train/images/00108.jpg,212,159,"[['car', (7, 27, 212, 147)]]"
car/train/images/00109.jpg,259,194,"[['car', (18, 14, 248, 168)]]"
car/train/images/00110.jpg,600,398,"[['car', (19, 2, 591, 387)]]"
car/train/images/00111.jpg,800,532,"[['car', (52, 6, 759, 513)]]"
car/train/images/00112.jpg,500,274,"[['car', (231, 103, 430, 226)]]"
car/train/images/00113.jpg,1024,682,"[['car', (91, 148, 700, 582)]]"
